"filename", "language", "Python", "Batch", "PowerShell", "Properties", "C", "JSON", "reStructuredText", "YAML", "Markdown", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\animate_button\animate_button.py", "Python", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 107
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\counter_app\counter.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\dashboard\data\global_memory.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\dashboard\global_controls\custom_button.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\dashboard\global_controls\menu_control.py", "Python", 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 160
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\dashboard\main.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 43
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\dashboard\pages\dashboard_page\controls\header_control.py", "Python", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 82
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\dashboard\pages\dashboard_page\controls\line_chart.py", "Python", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 149
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\dashboard\pages\dashboard_page\controls\top_containers.py", "Python", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 72
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\dashboard\pages\dashboard_page\dashboard_page.py", "Python", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 65
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\dashboard\pages\home_page\home_page.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\dashboard\theme\theme.py", "Python", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 94
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\first_app\controllers\login_controller.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\first_app\global_controls\custom_button.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\first_app\global_controls\custom_divider.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\first_app\main.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\first_app\page\login_page.py", "Python", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 120
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\note_app\main.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 23
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\note_app\pages\note_app_page\note_app_page.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\to-do_app\Task.py", "Python", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 75
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\to-do_app\main.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\to-do_app\todo_app.py", "Python", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 66
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\Jinja2-3.1.2.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 6, 29
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\MarkupSafe-2.1.3.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 6, 29
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\_yaml\__init__.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 34
