Date : 2024-01-05 00:25:49
Directory : c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet
Total : 1797 files,  655447 codes, 28101 comments, 71064 blanks, all 754612 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |      1,766 |    491,436 |     27,501 |     70,737 |    589,674 |
| JavaScript       |          5 |    162,802 |        181 |         43 |    163,026 |
| C                |          2 |        426 |         33 |         86 |        545 |
| Markdown         |          4 |        256 |          0 |         33 |        289 |
| reStructuredText |          5 |        179 |         18 |         90 |        287 |
| PowerShell       |          1 |        108 |        360 |         35 |        503 |
| HTML             |          1 |        104 |          7 |         20 |        131 |
| YAML             |          1 |         48 |          0 |          1 |         49 |
| JSON             |          9 |         43 |          0 |          1 |         44 |
| Batch            |          2 |         40 |          1 |         17 |         58 |
| Properties       |          1 |          5 |          0 |          1 |          6 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                            |      1,797 |    655,447 |     28,101 |     71,064 |    754,612 |
| animate_button                                                                                                                                                                                               |          1 |         91 |          5 |         11 |        107 |
| counter_app                                                                                                                                                                                                  |          1 |         22 |          0 |          9 |         31 |
| dashboard                                                                                                                                                                                                    |         10 |        642 |          5 |         85 |        732 |
| dashboard (Files)                                                                                                                                                                                            |          1 |         33 |          0 |         10 |         43 |
| dashboard\data                                                                                                                                                                                               |          1 |          6 |          0 |          2 |          8 |
| dashboard\global_controls                                                                                                                                                                                    |          2 |        171 |          2 |         17 |        190 |
| dashboard\pages                                                                                                                                                                                              |          5 |        356 |          1 |         40 |        397 |
| dashboard\pages\dashboard_page                                                                                                                                                                               |          4 |        332 |          1 |         35 |        368 |
| dashboard\pages\dashboard_page (Files)                                                                                                                                                                       |          1 |         60 |          0 |          5 |         65 |
| dashboard\pages\dashboard_page\controls                                                                                                                                                                      |          3 |        272 |          1 |         30 |        303 |
| dashboard\pages\home_page                                                                                                                                                                                    |          1 |         24 |          0 |          5 |         29 |
| dashboard\theme                                                                                                                                                                                              |          1 |         76 |          2 |         16 |         94 |
| first_app                                                                                                                                                                                                    |          5 |        193 |          3 |         29 |        225 |
| first_app (Files)                                                                                                                                                                                            |          1 |         28 |          0 |          7 |         35 |
| first_app\controllers                                                                                                                                                                                        |          1 |          9 |          0 |          5 |         14 |
| first_app\global_controls                                                                                                                                                                                    |          2 |         48 |          0 |          8 |         56 |
| first_app\page                                                                                                                                                                                               |          1 |        108 |          3 |          9 |        120 |
| note_app                                                                                                                                                                                                     |          2 |         23 |          0 |         12 |         35 |
| note_app (Files)                                                                                                                                                                                             |          1 |         15 |          0 |          8 |         23 |
| note_app\pages                                                                                                                                                                                               |          1 |          8 |          0 |          4 |         12 |
| note_app\pages\note_app_page                                                                                                                                                                                 |          1 |          8 |          0 |          4 |         12 |
| to-do_app                                                                                                                                                                                                    |          3 |        134 |          0 |         28 |        162 |
| venv_primeros_pasos_flet                                                                                                                                                                                     |      1,775 |    654,342 |     28,088 |     70,890 |    753,320 |
| venv_primeros_pasos_flet (Files)                                                                                                                                                                             |          1 |          5 |          0 |          1 |          6 |
| venv_primeros_pasos_flet\Lib                                                                                                                                                                                 |      1,771 |    654,189 |     27,727 |     70,837 |    752,753 |
| venv_primeros_pasos_flet\Lib\site-packages                                                                                                                                                                   |      1,771 |    654,189 |     27,727 |     70,837 |    752,753 |
| venv_primeros_pasos_flet\Lib\site-packages (Files)                                                                                                                                                           |          4 |      4,909 |        466 |      1,187 |      6,562 |
| venv_primeros_pasos_flet\Lib\site-packages\Jinja2-3.1.2.dist-info                                                                                                                                            |          1 |         23 |          0 |          6 |         29 |
| venv_primeros_pasos_flet\Lib\site-packages\MarkupSafe-2.1.3.dist-info                                                                                                                                        |          1 |         23 |          0 |          6 |         29 |
| venv_primeros_pasos_flet\Lib\site-packages\_yaml                                                                                                                                                             |          1 |         18 |         12 |          4 |         34 |
| venv_primeros_pasos_flet\Lib\site-packages\anyio                                                                                                                                                             |         37 |      7,509 |        224 |      1,926 |      9,659 |
| venv_primeros_pasos_flet\Lib\site-packages\anyio (Files)                                                                                                                                                     |          6 |        907 |         25 |        227 |      1,159 |
| venv_primeros_pasos_flet\Lib\site-packages\anyio\_backends                                                                                                                                                   |          3 |      2,820 |        107 |        639 |      3,566 |
| venv_primeros_pasos_flet\Lib\site-packages\anyio\_core                                                                                                                                                       |         13 |      2,019 |         34 |        595 |      2,648 |
| venv_primeros_pasos_flet\Lib\site-packages\anyio\abc                                                                                                                                                         |          8 |        872 |         17 |        221 |      1,110 |
| venv_primeros_pasos_flet\Lib\site-packages\anyio\streams                                                                                                                                                     |          7 |        891 |         41 |        244 |      1,176 |
| venv_primeros_pasos_flet\Lib\site-packages\arrow                                                                                                                                                             |         10 |      8,429 |        170 |      1,489 |     10,088 |
| venv_primeros_pasos_flet\Lib\site-packages\binaryornot                                                                                                                                                       |          3 |        113 |         21 |         37 |        171 |
| venv_primeros_pasos_flet\Lib\site-packages\binaryornot-0.4.4.dist-info                                                                                                                                       |          2 |         85 |         14 |         55 |        154 |
| venv_primeros_pasos_flet\Lib\site-packages\certifi                                                                                                                                                           |          3 |         63 |         37 |         27 |        127 |
| venv_primeros_pasos_flet\Lib\site-packages\chardet                                                                                                                                                           |         49 |     39,307 |      1,440 |        590 |     41,337 |
| venv_primeros_pasos_flet\Lib\site-packages\chardet (Files)                                                                                                                                                   |         45 |     38,905 |      1,404 |        560 |     40,869 |
| venv_primeros_pasos_flet\Lib\site-packages\chardet\cli                                                                                                                                                       |          2 |         94 |          2 |         18 |        114 |
| venv_primeros_pasos_flet\Lib\site-packages\chardet\metadata                                                                                                                                                  |          2 |        308 |         34 |         12 |        354 |
| venv_primeros_pasos_flet\Lib\site-packages\charset_normalizer                                                                                                                                                |         12 |      4,226 |         42 |        548 |      4,816 |
| venv_primeros_pasos_flet\Lib\site-packages\charset_normalizer (Files)                                                                                                                                        |         10 |      3,955 |         42 |        515 |      4,512 |
| venv_primeros_pasos_flet\Lib\site-packages\charset_normalizer\cli                                                                                                                                            |          2 |        271 |          0 |         33 |        304 |
| venv_primeros_pasos_flet\Lib\site-packages\click                                                                                                                                                             |         16 |      7,683 |        518 |      1,939 |     10,140 |
| venv_primeros_pasos_flet\Lib\site-packages\click-8.1.7.dist-info                                                                                                                                             |          1 |         23 |          0 |          6 |         29 |
| venv_primeros_pasos_flet\Lib\site-packages\colorama                                                                                                                                                          |         13 |      1,288 |        106 |        298 |      1,692 |
| venv_primeros_pasos_flet\Lib\site-packages\colorama (Files)                                                                                                                                                  |          6 |        662 |         79 |        147 |        888 |
| venv_primeros_pasos_flet\Lib\site-packages\colorama\tests                                                                                                                                                    |          7 |        626 |         27 |        151 |        804 |
| venv_primeros_pasos_flet\Lib\site-packages\cookiecutter                                                                                                                                                      |         18 |      1,971 |        120 |        509 |      2,600 |
| venv_primeros_pasos_flet\Lib\site-packages\cookiecutter-2.5.0.dist-info                                                                                                                                      |          1 |        202 |          0 |         14 |        216 |
| venv_primeros_pasos_flet\Lib\site-packages\dateutil                                                                                                                                                          |         18 |      5,717 |        506 |      1,411 |      7,634 |
| venv_primeros_pasos_flet\Lib\site-packages\dateutil (Files)                                                                                                                                                  |          8 |      2,116 |        110 |        336 |      2,562 |
| venv_primeros_pasos_flet\Lib\site-packages\dateutil-stubs                                                                                                                                                    |         13 |        429 |         11 |         72 |        512 |
| venv_primeros_pasos_flet\Lib\site-packages\dateutil-stubs (Files)                                                                                                                                            |          6 |        206 |          4 |         26 |        236 |
| venv_primeros_pasos_flet\Lib\site-packages\dateutil-stubs\parser                                                                                                                                             |          2 |         70 |          0 |         14 |         84 |
| venv_primeros_pasos_flet\Lib\site-packages\dateutil-stubs\tz                                                                                                                                                 |          3 |        130 |          7 |         25 |        162 |
| venv_primeros_pasos_flet\Lib\site-packages\dateutil-stubs\zoneinfo                                                                                                                                           |          2 |         23 |          0 |          7 |         30 |
| venv_primeros_pasos_flet\Lib\site-packages\dateutil\parser                                                                                                                                                   |          3 |      1,510 |        174 |        409 |      2,093 |
| venv_primeros_pasos_flet\Lib\site-packages\dateutil\tz                                                                                                                                                       |          5 |      1,916 |        211 |        608 |      2,735 |
| venv_primeros_pasos_flet\Lib\site-packages\dateutil\zoneinfo                                                                                                                                                 |          2 |        175 |         11 |         58 |        244 |
| venv_primeros_pasos_flet\Lib\site-packages\flet                                                                                                                                                              |         40 |    164,560 |        270 |        339 |    165,169 |
| venv_primeros_pasos_flet\Lib\site-packages\flet (Files)                                                                                                                                                      |          9 |        486 |         12 |         77 |        575 |
| venv_primeros_pasos_flet\Lib\site-packages\flet\__pyinstaller                                                                                                                                                |          7 |        204 |         17 |         71 |        292 |
| venv_primeros_pasos_flet\Lib\site-packages\flet\__pyinstaller (Files)                                                                                                                                        |          6 |        198 |         17 |         65 |        280 |
